,Macrophage,B_cell,T_cell,Myoepithelial,Endothelial,Tumor
EEF1G,0.47562457720943174,0.5105650145783821,0.5606253575257959,0.44763517271978326,0.40155232811833586,0.17451586121661117
EEF2,0.6190989806768006,0.5936500783377316,0.694392966537558,0.49374467594505594,0.47808282054083195,0.23778990210303028
MALAT1,0.43076617758286256,0.5008272548683219,0.598961230301273,0.4247238571207598,0.3779818359498441,0.2111156315960854
MTCO1P40,0.5367925074352609,0.5725725317016063,0.6497408263256405,0.4771707935057643,0.4819117552293484,0.2038162406399941
PPIB,0.6983270297854305,0.7512812962133038,0.8420140834818282,0.683020058557709,0.6387843651216749,0.3378994851924006
H3F3B,0.8037734436914784,0.7872328530233448,0.9137217432121799,0.7418734012147457,0.7578556709586671,0.22438573340175103
HNRNPA2B1,0.9537378332137152,0.9578089654085845,1.0617329292307902,0.8768078731154096,0.8704616965903408,0.46918646155411253
SET,1.036077738720406,1.036623952180841,1.0961129895318054,0.9818820292958724,0.9136162597421208,0.5066459592753849
EPCAM,1.9381149758477485,1.942145550615406,1.9155514133340226,1.6981636960202802,2.9160982284450765,0.3162230781698551
LDHA,0.8696624196337029,0.8776202699081038,0.9453206851642808,0.8227229685112856,0.8031907466078381,0.31083996051983803
RPLP0,0.8166989526906642,0.7917155870881336,0.8948539205640896,0.7173082085973448,0.7040306840999264,0.28439937434089485
ACTB,0.6243143566158357,0.7855098415185865,0.7596212678451385,0.6363791706261912,0.6618447608230213,0.44944893182258916
GAPDH,1.1318362697777051,1.0571336312191113,1.1808945598547225,1.0017729565251974,1.0685055589296255,0.356416755528447
GUSB,1.836156597185947,1.7293195806346255,1.8722669812945725,1.7602301020961233,1.8261495987399101,1.0485216559826698
TFRC,2.1781314347013776,2.174735923962429,2.234839007712904,2.250542182364585,2.804537132015417,1.3390014877331442
