,Macrophage,B_cell,T_cell,Myoepithelial,Endothelial,Tumor,min_CV
blank_541,0.10032992577309341,0.11654255205031389,0.12792229242597278,0.11053914560529825,0.08624919931315314,0.08227354178709972,0.08227354178709972
EEF1G,0.47562457720943174,0.5105650145783821,0.5606253575257959,0.44763517271978326,0.40155232811833586,0.17451586121661117,0.17451586121661117
MTCO1P40,0.5367925074352609,0.5725725317016063,0.6497408263256405,0.4771707935057643,0.4819117552293484,0.2038162406399941,0.2038162406399941
MALAT1,0.43076617758286256,0.5008272548683219,0.598961230301273,0.4247238571207598,0.3779818359498441,0.2111156315960854,0.2111156315960854
H3F3B,0.8037734436914784,0.7872328530233448,0.9137217432121799,0.7418734012147457,0.7578556709586671,0.22438573340175103,0.22438573340175103
EEF2,0.6190989806768006,0.5936500783377316,0.694392966537558,0.49374467594505594,0.47808282054083195,0.23778990210303028,0.23778990210303028
SFRP1,1.4016655855431306,0.9894970280674259,1.3147851822160663,0.9013137532137462,1.9233316160856468,0.27062929487161497,0.27062929487161497
RPLP0,0.8166989526906642,0.7917155870881336,0.8948539205640896,0.7173082085973448,0.7040306840999264,0.28439937434089485,0.28439937434089485
CD24,1.6365298609559065,1.1647268719632864,1.5206941548767128,1.2684642622059992,2.6094274006825153,0.30028868300692363,0.30028868300692363
LDHA,0.8696624196337029,0.8776202699081038,0.9453206851642808,0.8227229685112856,0.8031907466078381,0.31083996051983803,0.31083996051983803
EPCAM,1.9381149758477485,1.942145550615406,1.9155514133340226,1.6981636960202802,2.9160982284450765,0.3162230781698551,0.3162230781698551
PPIB,0.6983270297854305,0.7512812962133038,0.8420140834818282,0.683020058557709,0.6387843651216749,0.3378994851924006,0.3378994851924006
PECAM1,1.7393297611014154,4.70054954075679,3.466295973811985,4.054723234641197,0.3457521701196588,5.596168397261362,0.3457521701196588
ENO1,0.9674375995083446,0.9745690179810921,1.0728518076287108,0.9219482623021291,1.0235498693297445,0.3457799691029915,0.3457799691029915
GAPDH,1.1318362697777051,1.0571336312191113,1.1808945598547225,1.0017729565251974,1.0685055589296255,0.356416755528447,0.356416755528447
ITGB1,0.7026491878331649,0.744613830478933,0.8392346310415715,0.5788038788175053,0.5226796195935532,0.3933222540709152,0.3933222540709152
BRK1,1.023946325528558,1.0162475524398988,1.144443614725498,0.9403972598637031,0.9393229579388164,0.4206427104269695,0.4206427104269695
VEGFA,1.570205844126959,1.214542091723395,1.5086529011364007,1.484681834023087,2.217309175759135,0.42925832046027923,0.42925832046027923
ACTB,0.6243143566158357,0.7855098415185865,0.7596212678451385,0.6363791706261912,0.6618447608230213,0.44944893182258916,0.44944893182258916
ASPH,1.1429190525089863,1.0620802569701175,1.341651647372921,0.9588932158342912,1.1102207140808853,0.45413490899804904,0.45413490899804904
YWHAZ,1.165502884475146,1.0743881312884291,1.1276879002953952,1.1254257168485882,1.1700321976616046,0.4557170420598415,0.4557170420598415
YWHAQ,1.3044992020084527,1.1548505298828895,1.3009443922236628,1.1235111913630782,1.2240120895642013,0.45788758458644735,0.45788758458644735
PCBP1,0.8917841580895846,0.9558717802579347,0.9854885646606548,1.0011443826420847,0.8729344934630268,0.4643919133580784,0.4643919133580784
LDHB,1.219917483891201,1.0895265532567797,1.1520171390744858,1.0558673058566423,1.1719465105250215,0.46700094754599075,0.46700094754599075
HNRNPA2B1,0.9537378332137152,0.9578089654085845,1.0617329292307902,0.8768078731154096,0.8704616965903408,0.46918646155411253,0.46918646155411253
LYZ,0.4879745306299771,3.7885811296449843,2.471743524967182,3.9438984645398305,2.7085217632155296,2.712325168562785,0.4879745306299771
EIF5A,1.1253466633011162,1.107195161855705,1.2098645766378342,1.0719921669571777,1.0611443752889258,0.49615712792625083,0.49615712792625083
PKM,1.0439016319889576,1.0808391553232746,1.172537354434766,0.9811298871318515,1.1252361036644642,0.5049824254451991,0.5049824254451991
SET,1.036077738720406,1.036623952180841,1.0961129895318054,0.9818820292958724,0.9136162597421208,0.5066459592753849,0.5066459592753849
MIF,1.59424272282121,1.2992612060928939,1.511927728335792,1.4190025140502187,1.7547398007687176,0.5227627425751395,0.5227627425751395
YWHAE,1.234261759977648,1.1902852341229553,1.3754105742971712,1.07446293221516,1.0384918243917178,0.5565652438891963,0.5565652438891963
CD74,0.5604495834452798,1.1898807123410982,0.9392508246620609,1.1239940199270726,0.7446608947201498,1.5517625393435193,0.5604495834452798
POLR2J3,1.080154893320092,1.050491150087512,1.189257521588977,1.0149564322161841,1.031653518786013,0.5649520899382218,0.5649520899382218
